city,state,country,population
Orange,California,United States,138669
Fullerton,California,United States,138632
Panama City,Florida,United States,136133
Hampton,Virginia,United States,134510
Warren,Michigan,United States,133943
Coral Springs,Florida,United States,133759
Kent,Washington,United States,132319
Bellingham,Washington,United States,130641
Racine,Wisconsin,United States,130142
Stamford,Connecticut,United States,129638
Elizabeth,New Jersey,United States,129216
Johnson City,Tennessee,United States,127571
Lynchburg,Virginia,United States,126814
Simi Valley,California,United States,126589
Kenosha,Wisconsin,United States,124972
Boulder,Colorado,United States,124345
Abilene,Texas,United States,123420
Berkeley,California,United States,121363
East Los Angeles,California,United States,121187
Duluth,Minnesota,United States,119476
Rock Hill,South Carolina,United States,119105
Cambridge,Massachusetts,United States,118927
Iowa City,Iowa,United States,118041
Saginaw,Michigan,United States,117958
Chico,California,United States,117668
Clearwater,Florida,United States,116946
Brandon,Florida,United States,115911
Bloomington,Indiana,United States,115884
Temecula,California,United States,114761
Clovis,California,United States,114584
Costa Mesa,California,United States,113003
Monroe,Louisiana,United States,112891
Pompano Beach,Florida,United States,112118
West Palm Beach,Florida,United States,111955
Waterloo,Iowa,United States,111631
Everett,Washington,United States,111475
El Centro,California,United States,111425
Santa Fe,New Mexico,United States,111269
Downey,California,United States,111126
Lowell,Massachusetts,United States,110997
Elgin,Illinois,United States,110849
Burlington,Vermont,United States,109763
Eau Claire,Wisconsin,United States,107404
Turlock,California,United States,107317
Temple,Texas,United States,107258
Sioux City,Iowa,United States,106455
Salisbury,Maryland,United States,106447
West Covina,California,United States,105101
Wichita Falls,Texas,United States,104683
San Mateo,California,United States,104430
El Cajon,California,United States,102708
Burbank,California,United States,102511
Vista,California,United States,101638
Vacaville,California,United States,101444
Carmel,Indiana,United States,101068
San Angelo,Texas,United States,101004
Charlottesville,Virginia,United States,100416
Boca Raton,Florida,United States,99805
Beaverton,Oregon,United States,99037
Lawrence,Kansas,United States,98648
Orem,Utah,United States,97828
Federal Way,Washington,United States,96289
Mandeville,Louisiana,United States,95968
Bowling Green,Kentucky,United States,95135
Quincy,Massachusetts,United States,94470
Chino,California,United States,94371
Lynn,Massachusetts,United States,94299
Hanford,California,United States,94028
Dearborn,Michigan,United States,93932
Livonia,Michigan,United States,93665
South Gate,California,United States,93444
Florence,South Carolina,United States,93131
Portsmouth,New Hampshire,United States,93069
Lawton,Oklahoma,United States,93025
Kirkland,Washington,United States,93010
Missoula,Montana,United States,92895
Auburn,Alabama,United States,92777
Blacksburg,Virginia,United States,91888
Santa Monica,California,United States,90401
New Braunfels,Texas,United States,90209
Norwalk,Connecticut,United States,88816
Newton,Massachusetts,United States,88414
State College,Pennsylvania,United States,87723
Hawthorne,California,United States,86068
Anderson,Indiana,United States,85992
Redwood City,California,United States,85925
Lake Forest,California,United States,85531
Whittier,California,United States,85098
Newport Beach,California,United States,84534
Joplin,Missouri,United States,84048
Chino Hills,California,United States,83853
Alhambra,California,United States,83750
Franklin,Tennessee,United States,83097
Melbourne,Florida,United States,83029
Pleasanton,California,United States,81777
Silver Spring,Maryland,United States,81773
Cranston,Rhode Island,United States,81456
Somerville,Massachusetts,United States,81360
Williamsburg,Virginia,United States,80441
Valdosta,Georgia,United States,79820
New Rochelle,New York,United States,78557
Layton,Utah,United States,78014
Upland,California,United States,77140
Davis,California,United States,76997
San Marcos,Texas,United States,76218
Oshkosh,Wisconsin,United States,75536
Waldorf,Maryland,United States,75489
Kendall,Florida,United States,75312
Conway,Arkansas,United States,74951
Gary,Indiana,United States,74879
Lodi,California,United States,74773
Jackson,Tennessee,United States,74065
Evanston,Illinois,United States,73473
Ellicott City,Maryland,United States,72665
Dale City,Virginia,United States,72627
Maple Grove,Minnesota,United States,72622
Morgantown,West Virginia,United States,72458
Harrisonburg,Virginia,United States,72386
Redmond,Washington,United States,71929
Redlands,California,United States,71513
Sherman,Texas,United States,70704
Walnut Creek,California,United States,70166
Passaic,New Jersey,United States,69703
Sheboygan,Wisconsin,United States,69393
Daytona Beach,Florida,United States,69186
Lima,Ohio,United States,68878
Rockville,Maryland,United States,68079
Gaithersburg,Maryland,United States,67985
Union City,New Jersey,United States,67982
Ames,Iowa,United States,67910
Yorba Linda,California,United States,67644
Palatine,Illinois,United States,67482
DeKalb,Illinois,United States,66959
Petaluma,California,United States,66929
Laguna Niguel,California,United States,66385
Bay City,Michigan,United States,66107
North Little Rock,Arkansas,United States,65903
Carbondale,Illinois,United States,65671
Palo Alto,California,United States,65364
Great Falls,Montana,United States,65131
Bayonne,New Jersey,United States,64897
Noblesville,Indiana,United States,64668
Chapel Hill,North Carolina,United States,64051
Haverhill,Massachusetts,United States,64014
Parkersburg,West Virginia,United States,62566
San Luis Obispo,California,United States,62290
Hamilton,Ohio,United States,62082
Rome,Georgia,United States,61537
Sanford,Florida,United States,61448
Reston,Virginia,United States,61147
Taylor,Michigan,United States,60922
Marietta,Georgia,United States,60867
La Habra,California,United States,60513
Bangor,Maine,United States,59772
Bradenton,Florida,United States,59439
Pontiac,Michigan,United States,59438
Meriden,Connecticut,United States,59395
Royal Oak,Michigan,United States,59277
Middletown,New York,United States,58592
Hendersonville,Tennessee,United States,58113
White Plains,New York,United States,58109
Jefferson City,Missouri,United States,58025
Towson,Maryland,United States,57817
Parker,Colorado,United States,57706
Bozeman,Montana,United States,57695
Huntington Park,California,United States,57509
Blue Springs,Missouri,United States,55829
Tinley Park,Illinois,United States,55773
New Brunswick,New Jersey,United States,55676
Novato,California,United States,55516
Ithaca,New York,United States,55137
Chicopee,Massachusetts,United States,55126
Kingston,New York,United States,54791
West Haven,Connecticut,United States,54620
Normal,Illinois,United States,54469
Rosemead,California,United States,54058
Leesburg,Virginia,United States,53727
Palm Desert,California,United States,53275
Revere,Massachusetts,United States,53073
Helena,Montana,United States,52936
Wheaton,Illinois,United States,52745
Hoboken,New Jersey,United States,52677
Oak Park,Illinois,United States,52381
Levittown,New York,United States,51634
Glendora,California,United States,51544
Perth Amboy,New Jersey,United States,51390
Placentia,California,United States,51233
Kannapolis,North Carolina,United States,50841
Mishawaka,Indiana,United States,50363
Plainfield,New Jersey,United States,50317
Stillwater,Oklahoma,United States,50299
Morehead City,North Carolina,United States,49760
Coral Gables,Florida,United States,49700
Minot,North Dakota,United States,49425
Poway,California,United States,49323
Cypress,California,United States,49006
Roswell,New Mexico,United States,48889
Draper,Utah,United States,48587
Palm Springs,California,United States,48518
Findlay,Ohio,United States,48469
La Mirada,California,United States,48183
East Lansing,Michigan,United States,48145
Uniontown,Pennsylvania,United States,48137
Cumberland,Maryland,United States,47980
Rancho Santa Margarita,California,United States,47896
Potomac,Maryland,United States,45940
Tupelo,Mississippi,United States,45466
Lufkin,Texas,United States,44867
Lombard,Illinois,United States,44303
Eureka,California,United States,44236
Sayreville,New Jersey,United States,44173
Altamonte Springs,Florida,United States,44143
Moorhead,Minnesota,United States,43652
Rohnert Park,California,United States,43291
Freeport,New York,United States,42956
Hicksville,New York,United States,42709
Urbana,Illinois,United States,42214
Beverly,Massachusetts,United States,42174
Statesboro,Georgia,United States,42102
Campbell,California,United States,41793
La Quinta,California,United States,41748
Newnan,Georgia,United States,41581
Westfield,Massachusetts,United States,41204
Spanish Fork,Utah,United States,40913
Belleville,Illinois,United States,40897
Wilkes-Barre,Pennsylvania,United States,40766
Pottsville,Pennsylvania,United States,40685
Bluefield,West Virginia,United States,40640
Cedar Falls,Iowa,United States,40536
Jamestown,New York,United States,40493
Covington,Kentucky,United States,40341
Amherst,Massachusetts,United States,39814
Muskogee,Oklahoma,United States,39789
Chelsea,Massachusetts,United States,39690
Issaquah,Washington,United States,39509
Germantown,Tennessee,United States,39225
Annapolis,Maryland,United States,39223
Culver City,California,United States,39185
Oxford,Mississippi,United States,38310
Mechanicsville,Virginia,United States,37496
Valley Stream,New York,United States,37431
Oregon City,Oregon,United States,37339
Winter Springs,Florida,United States,37312
Braintree,Massachusetts,United States,37190
Rock Island,Illinois,United States,37176
Mount Juliet,Tennessee,United States,37029
Oakton,Virginia,United States,36997
New Albany,Indiana,United States,36843
Moorpark,California,United States,36375
Lincoln Park,Michigan,United States,36321
Claremont,California,United States,36266
Cooper City,Florida,United States,35800
Manhattan Beach,California,United States,35183
Menlo Park,California,United States,34698
Arcata,California,United States,34616
Lockport,New York,United States,34561
Goshen,Indiana,United States,34217
Russellville,Arkansas,United States,34205
Grass Valley,California,United States,34196
Kennesaw,Georgia,United States,34077
Douglasville,Georgia,United States,33992
Laramie,Wyoming,United States,33929
Dana Point,California,United States,33577
Newark,Delaware,United States,33515
Woodstock,Georgia,United States,33039
Fair Lawn,New Jersey,United States,32896
Huntington Station,New York,United States,32866
Massillon,Ohio,United States,32584
College Park,Maryland,United States,32163
Chillicothe,Ohio,United States,31999
La Verne,California,United States,31974
Garfield,New Jersey,United States,31802
Centereach,New York,United States,31493
Princeton,New Jersey,United States,31187
Goleta,California,United States,30911
Barstow,California,United States,30605
Gurnee,Illinois,United States,30378
Sterling,Virginia,United States,30271
Long Branch,New Jersey,United States,30241
Los Gatos,California,United States,30222
Los Altos,California,United States,30089
Stockbridge,Georgia,United States,29904
Ukiah,California,United States,29561
Port Chester,New York,United States,29163
Geneva,New York,United States,28563
Northampton,Massachusetts,United States,28451
Ruston,Louisiana,United States,27717
Isla Vista,California,United States,27707
Seneca,South Carolina,United States,27439
Bergenfield,New Jersey,United States,27327
Glen Cove,New York,United States,27166
Wilmette,Illinois,United States,27089
Cortland,New York,United States,26729
Alvin,Texas,United States,26723
Marshalltown,Iowa,United States,26666
Batavia,Illinois,United States,26420
Troy,Ohio,United States,26281
Boone,North Carolina,United States,26146
Moscow,Idaho,United States,26145
Twentynine Palms,California,United States,26073
Medina,Ohio,United States,25956
Owatonna,Minnesota,United States,25704
Tarpon Springs,Florida,United States,25577
Denison,Texas,United States,25529
El Cerrito,California,United States,25508
Homewood,Alabama,United States,25377
Bainbridge Island,Washington,United States,25298
Edwardsville,Illinois,United States,25233
Ridgewood,New Jersey,United States,25056
Auburn Hills,Michigan,United States,24748
Baldwin,New York,United States,24727
Kernersville,North Carolina,United States,24660
Rockville Centre,New York,United States,24550
Lathrop,California,United States,24483
Clinton,Mississippi,United States,24440
Ellensburg,Washington,United States,24377
Chantilly,Virginia,United States,24368
Newport,Rhode Island,United States,24334
Peekskill,New York,United States,24295
Ridgeland,Mississippi,United States,24104
Tumwater,Washington,United States,24024
Seal Beach,California,United States,23896
Calabasas,California,United States,23853
Half Moon Bay,California,United States,23653
Zion,Illinois,United States,23487
Carteret,New Jersey,United States,23408
Maywood,Illinois,United States,23158
Blue Island,Illinois,United States,22899
Belton,Texas,United States,22885
Laguna Beach,California,United States,22827
Keene,New Hampshire,United States,22786
Millbrae,California,United States,22394
Naples,Florida,United States,22088
Massapequa,New York,United States,21784
Mukilteo,Washington,United States,21441
King of Prussia,Pennsylvania,United States,21313
Stephenville,Texas,United States,21247
Guayama,Puerto Rico,United States,20913
Grayslake,Illinois,United States,20725
Lebanon,Ohio,United States,20659
Payson,Utah,United States,20303
Agoura Hills,California,United States,20222
Libertyville,Illinois,United States,20205
Ypsilanti,Michigan,United States,20171
Snellville,Georgia,United States,20077
West Chester,Pennsylvania,United States,20029
Elmwood Park,New Jersey,United States,19966
Tahlequah,Oklahoma,United States,19773
La Crescenta-Montrose,California,United States,19689
Hermosa Beach,California,United States,19320
Arbutus,Maryland,United States,19292
Morristown,New Jersey,United States,19261
Lexington,North Carolina,United States,18933
Sartell,Minnesota,United States,18926
Anacortes,Washington,United States,18563
Hopkins,Minnesota,United States,18468
Radford,Virginia,United States,18249
Iselin,New Jersey,United States,18175
Macomb,Illinois,United States,18006
Easton,Maryland,United States,17911
Dumont,New Jersey,United States,17516
Shorewood,Illinois,United States,17509
Martinsburg,West Virginia,United States,17454
Lansdale,Pennsylvania,United States,17083
McComb,Mississippi,United States,16672
El Segundo,California,United States,16610
Solvang,California,United States,16540
Los Osos,California,United States,16533
Kings Park,New York,United States,16424
Conyers,Georgia,United States,16256
Sulphur Springs,Texas,United States,16234
Mount Clemens,Michigan,United States,16163
Prospect Heights,Illinois,United States,15887
Floral Park,New York,United States,15844
Lake Geneva,Wisconsin,United States,15518
Asbury Park,New Jersey,United States,15408
Westbury,New York,United States,15351
Washington Court House,Ohio,United States,15059
Astoria,Oregon,United States,14916
Hartsville,South Carolina,United States,14693
Williamstown,New Jersey,United States,14641
Corinth,Mississippi,United States,14472
Greensburg,Pennsylvania,United States,14113
Middleburg,Florida,United States,14111
Fort Payne,Alabama,United States,14074
Beacon,New York,United States,13968
Hammonton,New Jersey,United States,13934
El Sobrante,California,United States,13881
Ephrata,Pennsylvania,United States,13862
Maumee,Ohio,United States,13669
Elizabethton,Tennessee,United States,13509
Marion,North Carolina,United States,13454
Lindale,Texas,United States,13442
Oskaloosa,Iowa,United States,12592
Belmont,North Carolina,United States,12558
Endicott,New York,United States,12532
Stony Brook,New York,United States,12428
Palmer,Massachusetts,United States,12232
Moncks Corner,South Carolina,United States,11986
Red Bank,New Jersey,United States,11966
Malibu,California,United States,11820
Scotts Valley,California,United States,11757
Glen Rock,New Jersey,United States,11707
Fenton,Michigan,United States,11403
Piedmont,California,United States,11135
Mount Sinai,New York,United States,11101
Moss Bluff,Louisiana,United States,11055
Wasilla,Alaska,United States,10838
Mount Kisco,New York,United States,10795
Rodeo,California,United States,10409
Kennett,Missouri,United States,10379
Sedona,Arizona,United States,10339
Vernon,Texas,United States,10323
Vashon,Washington,United States,10291
Great Neck,New York,United States,10209
Waverly,Iowa,United States,10198
Havre,Montana,United States,10155
Kutztown,Pennsylvania,United States,10137
Laurens,South Carolina,United States,10008
Marysville,Michigan,United States,9672
Fort Stewart,Georgia,United States,9643
Keansburg,New Jersey,United States,9632
Lititz,Pennsylvania,United States,9465
Brownsville,Tennessee,United States,9435
Amityville,New York,United States,9399
Gridley,California,United States,9237
South Amboy,New Jersey,United States,9176
Monmouth,Illinois,United States,9084
Valley Cottage,New York,United States,9023
Mechanicsburg,Pennsylvania,United States,8990
Aledo,Texas,United States,8909
Quakertown,Pennsylvania,United States,8784
Fort Knox,Kentucky,United States,8695
Montesano,Washington,United States,8685
Matawan,New Jersey,United States,8640
Monahans,Texas,United States,8639
Audubon,New Jersey,United States,8637
Charlestown,Indiana,United States,8370
Haledon,New Jersey,United States,8293
Montecito,California,United States,8245
Oberlin,Ohio,United States,8199
Willits,California,United States,8055
Topanga,California,United States,7900
Grand Ledge,Michigan,United States,7896
Hastings-on-Hudson,New York,United States,7853
Creston,Iowa,United States,7713
Bernardsville,New Jersey,United States,7594
Marshall,Michigan,United States,7548
Pikeville,Kentucky,United States,7531
Northport,New York,United States,7273
Pleasantville,New York,United States,7260
Nyack,New York,United States,7156
Flatwoods,Kentucky,United States,7079
Keyport,New Jersey,United States,6977
Ocean City,Maryland,United States,6944
Linwood,New Jersey,United States,6658
Winthrop Harbor,Illinois,United States,6618
Camilla,Georgia,United States,6488
Red Lion,Pennsylvania,United States,6330
Morris Plains,New Jersey,United States,6255
Dumfries,Virginia,United States,5922
Mineola,Texas,United States,5919
Littlefield,Texas,United States,5843
Woodcliff Lake,New Jersey,United States,5839
Dripping Springs,Texas,United States,5708
New Castle,Delaware,United States,5392
Grayson,Kentucky,United States,5277
Grosse Pointe,Michigan,United States,5154
Carle Place,New York,United States,5131
Carmi,Illinois,United States,5111
Glen Head,New York,United States,5053
Adairsville,Georgia,United States,4963
Salem,Missouri,United States,4919
Davison,Michigan,United States,4881
Flemington,New Jersey,United States,4577
Pinetop-Lakeside,Arizona,United States,4469
Churchville,Pennsylvania,United States,4412
Coopersville,Michigan,United States,4387
Buchanan,Michigan,United States,4263
Ho-Ho-Kus,New Jersey,United States,4065
Tiptonville,Tennessee,United States,3971
Shingle Springs,California,United States,3846
South Glens Falls,New York,United States,3634
Romeo,Michigan,United States,3606
Newcastle,Wyoming,United States,3397
Tipton,Missouri,United States,3389
Mansfield,Pennsylvania,United States,3341
Story City,Iowa,United States,3320
Wellsville,Ohio,United States,3306
Grand Saline,Texas,United States,3273
Hauula,Hawaii,United States,3233
Bedford Hills,New York,United States,3225
Mannford,Oklahoma,United States,3194
Minden,Nevada,United States,3151
Nevada City,California,United States,3148
Benson,Minnesota,United States,3043
Mohnton,Pennsylvania,United States,3018
Sylva,North Carolina,United States,2738
New Hope,Pennsylvania,United States,2530
Yardley,Pennsylvania,United States,2514
Escatawpa,Mississippi,United States,2257
Guyton,Georgia,United States,2226
South Fallsburg,New York,United States,2168
Corralitos,California,United States,2160
Penndel,Pennsylvania,United States,2157
Rainier,Oregon,United States,2010
Sussex,New Jersey,United States,1985
Linden,Texas,United States,1915
Southport,Indiana,United States,1770
Crested Butte,Colorado,United States,1723
Jonesboro,Illinois,United States,1700
Chapin,South Carolina,United States,1633
Tryon,North Carolina,United States,1615
Edmonton,Kentucky,United States,1595
Langhorne,Pennsylvania,United States,1580
Pilot Mountain,North Carolina,United States,1413
Millbrook,New York,United States,1406
Oblong,Illinois,United States,1371
Glen Dale,West Virginia,United States,1371
Milton,New York,United States,1294
Dover Plains,New York,United States,1096
McLeansville,North Carolina,United States,1044
Belle Vernon,Pennsylvania,United States,1031
New Cumberland,West Virginia,United States,1006
Milford,Pennsylvania,United States,982
Occidental,California,United States,823
Upper Marlboro,Maryland,United States,673
Gas,Kansas,United States,501
Kingsland,Arkansas,United States,400
